8.800000000000000000e+01 1.053500000000000085e+02
7.200000000000000000e+01 2.033000000000000114e+02
1.520000000000000000e+02 2.060999999999999943e+02
1.600000000000000000e+02 2.067000000000000171e+02
4.000000000000000000e+02 2.190000000000000000e+02
3.280000000000000000e+02 2.370999999999999943e+02
3.280000000000000000e+02 3.070500000000000114e+02
1.440000000000000000e+02 3.377500000000000000e+02
9.600000000000000000e+01 4.021000000000000227e+02
2.400000000000000000e+01 4.097500000000000000e+02
3.680000000000000000e+02 4.488500000000000227e+02
2.080000000000000000e+02 4.503500000000000227e+02
5.600000000000000000e+01 4.695000000000000000e+02
4.000000000000000000e+01 5.053000000000000114e+02
3.120000000000000000e+02 5.330000000000000000e+02
1.360000000000000000e+02 5.605500000000000682e+02
3.440000000000000000e+02 5.841499999999999773e+02
3.200000000000000000e+01 5.894500000000000455e+02
3.200000000000000000e+02 6.109500000000000455e+02
3.200000000000000000e+01 6.681499999999999773e+02
7.200000000000000000e+01 7.175000000000000000e+02
3.760000000000000000e+02 7.840500000000000682e+02
8.800000000000000000e+01 7.860500000000000682e+02
1.840000000000000000e+02 8.332500000000000000e+02
8.000000000000000000e+01 8.430000000000000000e+02
1.360000000000000000e+02 8.815000000000000000e+02
2.800000000000000000e+02 9.223000000000000682e+02
2.640000000000000000e+02 9.230500000000000682e+02
3.120000000000000000e+02 1.033599999999999909e+03
1.760000000000000000e+02 1.093600000000000136e+03
1.280000000000000000e+02 1.109299999999999955e+03
1.440000000000000000e+02 1.198900000000000091e+03
3.040000000000000000e+02 1.209200000000000045e+03
1.440000000000000000e+02 1.362000000000000000e+03
1.600000000000000000e+02 1.385750000000000000e+03
2.320000000000000000e+02 1.424500000000000000e+03
3.200000000000000000e+02 1.506650000000000091e+03
3.440000000000000000e+02 1.573350000000000136e+03
2.800000000000000000e+02 1.705600000000000136e+03
8.800000000000000000e+01 1.766150000000000091e+03
1.840000000000000000e+02 1.779000000000000000e+03
3.200000000000000000e+02 1.836150000000000091e+03
6.400000000000000000e+01 1.866950000000000045e+03
1.840000000000000000e+02 1.925600000000000136e+03
1.600000000000000000e+02 1.939200000000000045e+03
2.480000000000000000e+02 2.031299999999999955e+03
1.440000000000000000e+02 2.075699999999999818e+03
9.600000000000000000e+01 2.114750000000000000e+03
2.400000000000000000e+02 2.128349999999999909e+03
2.480000000000000000e+02 2.173900000000000091e+03
1.200000000000000000e+02 2.180300000000000182e+03
1.440000000000000000e+02 2.188150000000000091e+03
2.800000000000000000e+02 2.190099999999999909e+03
3.040000000000000000e+02 2.262700000000000273e+03
2.800000000000000000e+02 2.282450000000000273e+03
1.040000000000000000e+02 2.342849999999999909e+03
1.840000000000000000e+02 2.356849999999999909e+03
3.200000000000000000e+01 2.359700000000000273e+03
1.600000000000000000e+01 2.387250000000000000e+03
4.000000000000000000e+01 2.401250000000000000e+03
9.600000000000000000e+01 2.472500000000000000e+03
1.520000000000000000e+02 2.584550000000000182e+03
1.440000000000000000e+02 2.595599999999999909e+03
1.760000000000000000e+02 2.604950000000000273e+03
2.640000000000000000e+02 2.655200000000000273e+03
4.800000000000000000e+01 2.759700000000000273e+03
3.760000000000000000e+02 2.796000000000000000e+03
3.200000000000000000e+02 2.890200000000000273e+03
3.360000000000000000e+02 3.022500000000000000e+03
3.120000000000000000e+02 3.059050000000000182e+03
3.680000000000000000e+02 3.083750000000000000e+03
1.280000000000000000e+02 3.208300000000000182e+03
4.000000000000000000e+01 3.216450000000000273e+03
1.200000000000000000e+02 3.243550000000000182e+03
3.840000000000000000e+02 3.246450000000000273e+03
5.600000000000000000e+01 3.361900000000000091e+03
3.040000000000000000e+02 3.375550000000000182e+03
1.440000000000000000e+02 3.395150000000000091e+03
1.600000000000000000e+01 3.437800000000000182e+03
3.920000000000000000e+02 3.460099999999999909e+03
1.200000000000000000e+02 3.640099999999999909e+03
2.080000000000000000e+02 3.665450000000000273e+03
3.200000000000000000e+01 3.669500000000000000e+03
4.000000000000000000e+02 3.742800000000000182e+03
2.240000000000000000e+02 3.754599999999999909e+03
3.760000000000000000e+02 3.793150000000000091e+03
6.400000000000000000e+01 4.001150000000000091e+03
1.440000000000000000e+02 4.063650000000000091e+03
2.720000000000000000e+02 4.104000000000000000e+03
9.600000000000000000e+01 4.117300000000000182e+03
