3.760000000000000000e+02 2.029500000000000171e+02
3.840000000000000000e+02 4.977500000000000000e+02
3.280000000000000000e+02 6.567500000000000000e+02
3.600000000000000000e+02 6.997500000000000000e+02
3.760000000000000000e+02 7.564500000000000455e+02
3.600000000000000000e+02 8.247000000000000455e+02
3.520000000000000000e+02 8.436000000000000227e+02
3.760000000000000000e+02 8.695500000000000682e+02
4.000000000000000000e+02 9.916000000000000227e+02
3.680000000000000000e+02 1.176400000000000091e+03
3.520000000000000000e+02 1.264549999999999955e+03
3.760000000000000000e+02 1.383650000000000091e+03
3.440000000000000000e+02 1.451250000000000000e+03
3.360000000000000000e+02 1.836600000000000136e+03
4.000000000000000000e+02 2.257750000000000000e+03
3.440000000000000000e+02 2.555150000000000091e+03
3.280000000000000000e+02 3.162250000000000000e+03
3.280000000000000000e+02 3.565250000000000000e+03
3.280000000000000000e+02 3.840750000000000000e+03
3.680000000000000000e+02 3.859900000000000091e+03
3.520000000000000000e+02 4.066200000000000273e+03
3.680000000000000000e+02 6.275600000000000364e+03
3.920000000000000000e+02 6.570600000000000364e+03
3.840000000000000000e+02 6.912250000000000000e+03
3.680000000000000000e+02 6.944350000000000364e+03
3.280000000000000000e+02 7.192000000000000000e+03
4.000000000000000000e+02 7.853350000000000364e+03
3.840000000000000000e+02 7.890199999999999818e+03
3.840000000000000000e+02 8.554149999999999636e+03
3.840000000000000000e+02 8.603950000000000728e+03
3.600000000000000000e+02 8.613500000000000000e+03
3.760000000000000000e+02 8.815800000000001091e+03
3.600000000000000000e+02 8.875750000000000000e+03
3.680000000000000000e+02 8.937450000000000728e+03
3.840000000000000000e+02 9.142750000000000000e+03
3.680000000000000000e+02 9.157649999999999636e+03
3.360000000000000000e+02 9.757350000000000364e+03
3.520000000000000000e+02 1.009670000000000073e+04
3.920000000000000000e+02 1.038839999999999964e+04
3.680000000000000000e+02 1.072405000000000109e+04
3.760000000000000000e+02 1.101345000000000073e+04
3.920000000000000000e+02 1.144430000000000109e+04
4.000000000000000000e+02 1.165170000000000073e+04
3.280000000000000000e+02 1.204239999999999964e+04
3.360000000000000000e+02 1.226739999999999964e+04
3.520000000000000000e+02 1.232900000000000000e+04
3.840000000000000000e+02 1.243195000000000073e+04
3.920000000000000000e+02 1.325014999999999964e+04
4.000000000000000000e+02 1.327330000000000109e+04
3.680000000000000000e+02 1.335245000000000073e+04
3.760000000000000000e+02 1.354730000000000109e+04
3.680000000000000000e+02 1.386305000000000109e+04
3.360000000000000000e+02 1.420139999999999964e+04
3.520000000000000000e+02 1.463485000000000036e+04
3.280000000000000000e+02 1.480930000000000109e+04
3.920000000000000000e+02 1.482825000000000000e+04
3.680000000000000000e+02 1.515110000000000036e+04
3.280000000000000000e+02 1.549510000000000036e+04
3.360000000000000000e+02 1.566610000000000036e+04
3.680000000000000000e+02 1.581445000000000073e+04
3.920000000000000000e+02 1.610805000000000109e+04
3.680000000000000000e+02 1.627470000000000073e+04
3.680000000000000000e+02 1.638350000000000000e+04
3.440000000000000000e+02 1.651354999999999927e+04
3.920000000000000000e+02 1.696770000000000073e+04
3.360000000000000000e+02 1.734954999999999927e+04
3.520000000000000000e+02 1.746815000000000146e+04
3.760000000000000000e+02 1.753679999999999927e+04
3.440000000000000000e+02 1.775254999999999927e+04
3.450000000000000000e+02 3.140500000000000114e+02
3.610000000000000000e+02 3.283500000000000227e+02
3.930000000000000000e+02 6.036000000000000227e+02
3.530000000000000000e+02 6.293000000000000682e+02
3.770000000000000000e+02 6.786499999999999773e+02
3.530000000000000000e+02 7.947500000000000000e+02
